date,Team_1,Team_2,Winner,Margin,Ground
"Jul 1, 2019",Ireland,Zimbabwe,Ireland,4 wickets,Bready
"Jul 2, 2019",Bangladesh,India,India,28 runs,Birmingham
"Jul 3, 2019",England,New Zealand,England,119 runs,Chester-le-Street
"Jul 4, 2019",Afghanistan,West Indies,West Indies,23 runs,Leeds
"Jul 4, 2019",Ireland,Zimbabwe,Ireland,5 runs,Belfast
"Jul 5, 2019",Bangladesh,Pakistan,Pakistan,94 runs,Lord's
"Jul 6, 2019",India,Sri Lanka,India,7 wickets,Leeds
"Jul 6, 2019",Australia,South Africa,South Africa,10 runs,Manchester
"Jul 7, 2019",Ireland,Zimbabwe,Ireland,6 wickets,Belfast
"Jul 9-10, 2019",India,New Zealand,New Zealand,18 runs,Manchester
"Jul 11, 2019",England,Australia,England,8 wickets,Birmingham
"Jul 14, 2019",England,New Zealand,tied,-,Lord's
"Jul 26, 2019",Sri Lanka,Bangladesh,Sri Lanka,91 runs,Colombo (RPS)
"Jul 28, 2019",Sri Lanka,Bangladesh,Sri Lanka,7 wickets,Colombo (RPS)
"Jul 31, 2019",Sri Lanka,Bangladesh,Sri Lanka,122 runs,Colombo (RPS)
"Aug 8, 2019",West Indies,India,no result,-,Providence
"Aug 11, 2019",West Indies,India,India,59 runs,Port of Spain
"Aug 14, 2019",Oman,P.N.G.,Oman,4 wickets,Aberdeen
"Aug 14, 2019",West Indies,India,India,6 wickets,Port of Spain
"Aug 15, 2019",Scotland,Oman,Oman,8 wickets,Aberdeen
"Aug 17, 2019",Scotland,P.N.G.,Scotland,3 wickets,Aberdeen
"Aug 18, 2019",Scotland,Oman,Scotland,85 runs,Aberdeen
"Aug 20, 2019",Scotland,P.N.G.,Scotland,38 runs,Aberdeen
"Aug 21, 2019",Oman,P.N.G.,Oman,4 wickets,Aberdeen
"Sep 13, 2019",U.S.A.,P.N.G.,U.S.A.,5 runs,Lauderhill
"Sep 17, 2019",U.S.A.,Namibia,U.S.A.,5 wickets,Lauderhill
"Sep 19, 2019",U.S.A.,P.N.G.,U.S.A.,62 runs,Lauderhill
"Sep 20, 2019",U.S.A.,Namibia,Namibia,139 runs,Lauderhill
"Sep 22, 2019",Namibia,P.N.G.,Namibia,4 wickets,Lauderhill
"Sep 23, 2019",Namibia,P.N.G.,Namibia,27 runs,Lauderhill
"Sep 30, 2019",Pakistan,Sri Lanka,Pakistan,67 runs,Karachi
"Oct 2, 2019",Pakistan,Sri Lanka,Pakistan,5 wickets,Karachi
"Nov 6, 2019",Afghanistan,West Indies,West Indies,7 wickets,Lucknow
"Nov 9, 2019",Afghanistan,West Indies,West Indies,47 runs,Lucknow
"Nov 11, 2019",Afghanistan,West Indies,West Indies,5 wickets,Lucknow
"Dec 8, 2019",U.A.E.,U.S.A.,U.S.A.,3 wickets,Sharjah
"Dec 9, 2019",Scotland,U.S.A.,U.S.A.,35 runs,Sharjah
"Dec 12, 2019",U.A.E.,U.S.A.,U.S.A.,98 runs,ICCA Dubai
"Dec 14, 2019",Scotland,U.S.A.,Scotland,4 wickets,ICCA Dubai
"Dec 15, 2019",U.A.E.,Scotland,U.A.E.,7 wickets,ICCA Dubai
"Dec 15, 2019",India,West Indies,West Indies,8 wickets,Chennai
"Dec 18, 2019",India,West Indies,India,107 runs,Visakhapatnam
"Dec 22, 2019",India,West Indies,India,4 wickets,Cuttack
"Jan 5, 2020",Oman,U.A.E.,Oman,5 wickets,Al Amerat
"Jan 6, 2020",Namibia,U.A.E.,U.A.E.,8 runs,Al Amerat
"Jan 7, 2020",West Indies,Ireland,West Indies,5 wickets,Bridgetown
"Jan 8, 2020",Oman,Namibia,Namibia,52 runs,Al Amerat
"Jan 9, 2020",Namibia,U.A.E.,U.A.E.,8 wickets,Al Amerat
"Jan 9, 2020",West Indies,Ireland,West Indies,1 wicket,Bridgetown
"Jan 12, 2020",West Indies,Ireland,West Indies,5 wickets,St George's
"Jan 14, 2020",India,Australia,Australia,10 wickets,Wankhede
"Jan 17, 2020",India,Australia,India,36 runs,Rajkot
"Jan 19, 2020",India,Australia,India,7 wickets,Bengaluru
"Feb 4, 2020",South Africa,England,South Africa,7 wickets,Cape Town
"Feb 5, 2020",New Zealand,India,New Zealand,4 wickets,Hamilton
"Feb 5, 2020",Nepal,Oman,Oman,18 runs,Kirtipur
"Feb 6, 2020",Oman,U.S.A.,Oman,6 wickets,Kirtipur
"Feb 7, 2020",South Africa,England,no result,-,Durban
"Feb 8, 2020",New Zealand,India,New Zealand,22 runs,Auckland
"Feb 8, 2020",Nepal,U.S.A.,Nepal,35 runs,Kirtipur
"Feb 9, 2020",Nepal,Oman,Oman,8 wickets,Kirtipur
"Feb 9, 2020",South Africa,England,England,2 wickets,Johannesburg
"Feb 11, 2020",New Zealand,India,New Zealand,5 wickets,Mount Maunganui
"Feb 11, 2020",Oman,U.S.A.,Oman,92 runs,Kirtipur
"Feb 12, 2020",Nepal,U.S.A.,Nepal,8 wickets,Kirtipur
"Feb 22, 2020",Sri Lanka,West Indies,Sri Lanka,1 wicket,Colombo (SSC)
"Feb 26, 2020",Sri Lanka,West Indies,Sri Lanka,161 runs,Hambantota
"Feb 29, 2020",South Africa,Australia,South Africa,74 runs,Paarl
"Mar 1, 2020",Bangladesh,Zimbabwe,Bangladesh,169 runs,Sylhet
"Mar 1, 2020",Sri Lanka,West Indies,Sri Lanka,6 runs,Pallekele
"Mar 3, 2020",Bangladesh,Zimbabwe,Bangladesh,4 runs,Sylhet
"Mar 4, 2020",South Africa,Australia,South Africa,6 wickets,Bloemfontein
"Mar 6, 2020",Bangladesh,Zimbabwe,Bangladesh,123 runs,Sylhet
"Mar 7, 2020",South Africa,Australia,South Africa,6 wickets,Potchefstroom
"Mar 13, 2020",Australia,New Zealand,Australia,71 runs,Sydney
"Jul 30, 2020",England,Ireland,England,6 wickets,Southampton
"Aug 1, 2020",England,Ireland,England,4 wickets,Southampton
"Aug 4, 2020",England,Ireland,Ireland,7 wickets,Southampton
"Sep 11, 2020",England,Australia,Australia,19 runs,Manchester
"Sep 13, 2020",England,Australia,England,24 runs,Manchester
"Sep 16, 2020",England,Australia,Australia,3 wickets,Manchester
"Oct 30, 2020",Pakistan,Zimbabwe,Pakistan,26 runs,Rawalpindi
"Nov 1, 2020",Pakistan,Zimbabwe,Pakistan,6 wickets,Rawalpindi
"Nov 3, 2020",Pakistan,Zimbabwe,tied,-,Rawalpindi
"Nov 27, 2020",Australia,India,Australia,66 runs,Sydney
"Nov 29, 2020",Australia,India,Australia,51 runs,Sydney
"Dec 2, 2020",Australia,India,India,13 runs,Canberra
"Jan 8, 2021",U.A.E.,Ireland,U.A.E.,6 wickets,Abu Dhabi
"Jan 18, 2021",U.A.E.,Ireland,Ireland,112 runs,Abu Dhabi
"Jan 20, 2021",Bangladesh,West Indies,Bangladesh,6 wickets,Mirpur
"Jan 21, 2021",Afghanistan,Ireland,Afghanistan,16 runs,Abu Dhabi
"Jan 22, 2021",Bangladesh,West Indies,Bangladesh,7 wickets,Mirpur
"Jan 24, 2021",Afghanistan,Ireland,Afghanistan,7 wickets,Abu Dhabi
"Jan 25, 2021",Bangladesh,West Indies,Bangladesh,120 runs,Chattogram
"Jan 26, 2021",Afghanistan,Ireland,Afghanistan,36 runs,Abu Dhabi
"Mar 10, 2021",West Indies,Sri Lanka,West Indies,8 wickets,North Sound
"Mar 12, 2021",West Indies,Sri Lanka,West Indies,5 wickets,North Sound
"Mar 14, 2021",West Indies,Sri Lanka,West Indies,5 wickets,North Sound
"Mar 20, 2021",New Zealand,Bangladesh,New Zealand,8 wickets,Dunedin
"Mar 23, 2021",New Zealand,Bangladesh,New Zealand,5 wickets,Christchurch
"Mar 23, 2021",India,England,India,66 runs,Pune
"Mar 26, 2021",New Zealand,Bangladesh,New Zealand,164 runs,Wellington
"Mar 26, 2021",India,England,England,6 wickets,Pune
"Mar 28, 2021",India,England,India,7 runs,Pune
"Apr 2, 2021",South Africa,Pakistan,Pakistan,3 wickets,Centurion
"Apr 4, 2021",South Africa,Pakistan,South Africa,17 runs,Johannesburg
"Apr 7, 2021",South Africa,Pakistan,Pakistan,28 runs,Centurion
"May 19, 2021",Netherlands,Scotland,Netherlands,14 runs,Rotterdam
"May 20, 2021",Netherlands,Scotland,Scotland,6 wickets,Rotterdam
"May 23, 2021",Bangladesh,Sri Lanka,Bangladesh,33 runs,Mirpur
"May 25, 2021",Bangladesh,Sri Lanka,Bangladesh,103 runs,Mirpur
"May 28, 2021",Bangladesh,Sri Lanka,Sri Lanka,97 runs,Mirpur
"Jun 2, 2021",Netherlands,Ireland,Netherlands,1 run,Utrecht
"Jun 4, 2021",Netherlands,Ireland,Ireland,8 wickets,Utrecht
"Jun 7, 2021",Netherlands,Ireland,Netherlands,4 wickets,Utrecht
"Jun 29, 2021",England,Sri Lanka,England,5 wickets,Chester-le-Street
"Jul 1, 2021",England,Sri Lanka,England,8 wickets,The Oval
"Jul 4, 2021",England,Sri Lanka,no result,-,Bristol
"Jul 8, 2021",England,Pakistan,England,9 wickets,Cardiff
"Jul 10, 2021",England,Pakistan,England,52 runs,Lord's
"Jul 11, 2021",Ireland,South Africa,no result,-,Dublin (Malahide)
"Jul 13, 2021",Ireland,South Africa,Ireland,43 runs,Dublin (Malahide)
"Jul 13, 2021",England,Pakistan,England,3 wickets,Birmingham
"Jul 16, 2021",Zimbabwe,Bangladesh,Bangladesh,155 runs,Harare
"Jul 16, 2021",Ireland,South Africa,South Africa,70 runs,Dublin (Malahide)
"Jul 18, 2021",Zimbabwe,Bangladesh,Bangladesh,3 wickets,Harare
"Jul 18, 2021",Sri Lanka,India,India,7 wickets,Colombo (RPS)
"Jul 20, 2021",Zimbabwe,Bangladesh,Bangladesh,5 wickets,Harare
"Jul 20, 2021",Sri Lanka,India,India,3 wickets,Colombo (RPS)
"Jul 20, 2021",West Indies,Australia,Australia,133 runs,Bridgetown
"Jul 22-24, 2021",West Indies,Australia,West Indies,4 wickets,Bridgetown
"Jul 23, 2021",Sri Lanka,India,Sri Lanka,3 wickets,Colombo (RPS)
"Jul 26, 2021",West Indies,Australia,Australia,6 wickets,Bridgetown
"Sep 2, 2021",Sri Lanka,South Africa,Sri Lanka,14 runs,Colombo (RPS)
"Sep 4, 2021",Sri Lanka,South Africa,South Africa,67 runs,Colombo (RPS)
"Sep 6, 2021",P.N.G.,U.S.A.,U.S.A.,7 wickets,Al Amerat
"Sep 7, 2021",Nepal,P.N.G.,Nepal,2 wickets,Al Amerat
"Sep 7, 2021",Sri Lanka,South Africa,Sri Lanka,78 runs,Colombo (RPS)
"Sep 8, 2021",Ireland,Zimbabwe,Zimbabwe,38 runs,Belfast
"Sep 9, 2021",P.N.G.,U.S.A.,U.S.A.,134 runs,Al Amerat
"Sep 10, 2021",Ireland,Zimbabwe,no result,-,Belfast
"Sep 10, 2021",Nepal,P.N.G.,Nepal,151 runs,Al Amerat
"Sep 13, 2021",Ireland,Zimbabwe,Ireland,7 wickets,Belfast
"Sep 13, 2021",Nepal,U.S.A.,Nepal,5 wickets,Al Amerat
"Sep 14, 2021",Oman,Nepal,Oman,5 wickets,Al Amerat
"Sep 16, 2021",Oman,U.S.A.,Oman,4 wickets,Al Amerat
"Sep 17, 2021",Nepal,U.S.A.,U.S.A.,6 wickets,Al Amerat
"Sep 19, 2021",Oman,Nepal,Nepal,7 wickets,Al Amerat
"Sep 20, 2021",Oman,U.S.A.,Oman,72 runs,Al Amerat
"Sep 25, 2021",P.N.G.,Scotland,Scotland,6 wickets,Al Amerat
"Sep 26, 2021",Oman,P.N.G.,Oman,110 runs,Al Amerat
"Sep 28, 2021",Oman,Scotland,Scotland,18 runs,Al Amerat
"Sep 29, 2021",P.N.G.,Scotland,Scotland,4 wickets,Al Amerat
"Oct 1, 2021",Oman,P.N.G.,Oman,3 wickets,Al Amerat
"Oct 2, 2021",Oman,Scotland,no result,-,Al Amerat
"Nov 26, 2021",Namibia,Oman,Namibia,40 runs,Windhoek
"Nov 26, 2021",South Africa,Netherlands,no result,-,Centurion
"Nov 27, 2021",Namibia,Oman,Oman,9 runs,Windhoek
"Jan 8, 2022",West Indies,Ireland,West Indies,24 runs,Kingston
"Jan 13, 2022",West Indies,Ireland,Ireland,5 wickets,Kingston
"Jan 16, 2022",Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,Pallekele
"Jan 16, 2022",West Indies,Ireland,Ireland,2 wickets,Kingston
"Jan 18, 2022",Sri Lanka,Zimbabwe,Zimbabwe,22 runs,Pallekele
"Jan 19, 2022",South Africa,India,South Africa,31 runs,Paarl
"Jan 21, 2022",Afghanistan,Netherlands,Afghanistan,36 runs,Doha
"Jan 21, 2022",South Africa,India,South Africa,7 wickets,Paarl
"Jan 21, 2022",Sri Lanka,Zimbabwe,Sri Lanka,184 runs,Pallekele
"Jan 23, 2022",Afghanistan,Netherlands,Afghanistan,48 runs,Doha
"Jan 23, 2022",South Africa,India,South Africa,4 runs,Cape Town
"Jan 25, 2022",Afghanistan,Netherlands,Afghanistan,75 runs,Doha
"Feb 5, 2022",Oman,U.A.E.,U.A.E.,4 wickets,Al Amerat
"Feb 6, 2022",Oman,U.A.E.,U.A.E.,4 wickets,Al Amerat
"Feb 6, 2022",India,West Indies,India,6 wickets,Ahmedabad
"Feb 8, 2022",Oman,U.A.E.,tied,-,Al Amerat
"Feb 9, 2022",India,West Indies,India,44 runs,Ahmedabad
"Feb 11, 2022",India,West Indies,India,96 runs,Ahmedabad
"Feb 23, 2022",Bangladesh,Afghanistan,Bangladesh,4 wickets,Chattogram
"Feb 25, 2022",Bangladesh,Afghanistan,Bangladesh,88 runs,Chattogram
"Feb 28, 2022",Bangladesh,Afghanistan,Afghanistan,7 wickets,Chattogram
"Mar 5, 2022",U.A.E.,Oman,Oman,12 runs,ICCA Dubai
"Mar 6, 2022",Namibia,Oman,Namibia,110 runs,ICCA Dubai
"Mar 8, 2022",U.A.E.,Namibia,U.A.E.,3 wickets,ICCA Dubai
"Mar 9, 2022",U.A.E.,Oman,Oman,8 runs,ICCA Dubai
"Mar 11, 2022",Namibia,Oman,Oman,7 wickets,Sharjah
"Mar 12, 2022",U.A.E.,Namibia,U.A.E.,43 runs,Sharjah
"Mar 14, 2022",Namibia,Oman,Namibia,5 wickets,Dubai (DSC)
"Mar 15, 2022",U.A.E.,P.N.G.,U.A.E.,7 wickets,Sharjah
"Mar 16, 2022",Nepal,P.N.G.,Nepal,2 wickets,Sharjah
"Mar 18, 2022",U.A.E.,Nepal,U.A.E.,48 runs,Dubai (DSC)
"Mar 18, 2022",South Africa,Bangladesh,Bangladesh,38 runs,Centurion
"Mar 19, 2022",U.A.E.,P.N.G.,P.N.G.,6 wickets,Dubai (DSC)
"Mar 20, 2022",South Africa,Bangladesh,South Africa,7 wickets,Johannesburg
"Mar 21, 2022",U.A.E.,Nepal,U.A.E.,99 runs,Dubai (DSC)
"Mar 22, 2022",Nepal,P.N.G.,Nepal,7 wickets,Dubai (DSC)
"Mar 23, 2022",South Africa,Bangladesh,Bangladesh,9 wickets,Centurion
"Mar 25, 2022",Nepal,P.N.G.,P.N.G.,6 runs,Kirtipur
"Mar 26, 2022",Nepal,P.N.G.,P.N.G.,3 wickets,Kirtipur
"Mar 29, 2022",New Zealand,Netherlands,New Zealand,7 wickets,Mount Maunganui
"Mar 29, 2022",Pakistan,Australia,Australia,88 runs,Lahore
"Mar 31, 2022",Pakistan,Australia,Pakistan,6 wickets,Lahore
"Apr 2, 2022",New Zealand,Netherlands,New Zealand,118 runs,Hamilton
"Apr 2, 2022",Pakistan,Australia,Pakistan,9 wickets,Lahore
"Apr 4, 2022",New Zealand,Netherlands,New Zealand,115 runs,Hamilton
"Apr 9, 2022",P.N.G.,Scotland,Scotland,162 runs,Dubai (DSC)
"Apr 10, 2022",Oman,Scotland,Scotland,4 runs,Dubai (DSC)
"Apr 12, 2022",Oman,P.N.G.,Oman,7 wickets,Dubai (DSC)
"Apr 13, 2022",P.N.G.,Scotland,Scotland,123 runs,Dubai (DSC)
"Apr 15, 2022",Oman,Scotland,Scotland,2 wickets,Dubai (DSC)
"Apr 16, 2022",Oman,P.N.G.,Oman,85 runs,Dubai (DSC)
"May 28, 2022",U.S.A.,Scotland,U.S.A.,104 runs,Pearland
"May 29, 2022",U.S.A.,Scotland,Scotland,111 runs,Pearland
"May 31, 2022",Netherlands,West Indies,West Indies,7 wickets,Amstelveen
"May 31, 2022",Scotland,U.A.E.,Scotland,4 wickets,Pearland
"Jun 1, 2022",U.S.A.,U.A.E.,U.S.A.,4 wickets,Pearland
"Jun 2, 2022",Netherlands,West Indies,West Indies,5 wickets,Amstelveen
"Jun 3, 2022",Scotland,U.A.E.,U.A.E.,5 wickets,Pearland
"Jun 4, 2022",Zimbabwe,Afghanistan,Afghanistan,60 runs,Harare
"Jun 4, 2022",Netherlands,West Indies,West Indies,20 runs,Amstelveen
"Jun 4, 2022",U.S.A.,U.A.E.,U.A.E.,8 wickets,Pearland
"Jun 6, 2022",Zimbabwe,Afghanistan,Afghanistan,8 wickets,Harare
"Jun 8, 2022",Pakistan,West Indies,Pakistan,5 wickets,Multan
"Jun 8, 2022",U.S.A.,Oman,U.S.A.,114 runs,Pearland
"Jun 9, 2022",Zimbabwe,Afghanistan,Afghanistan,4 wickets,Harare
"Jun 9, 2022",Nepal,Oman,Oman,13 runs,Pearland
"Jun 10, 2022",Pakistan,West Indies,Pakistan,120 runs,Multan
"Jun 11, 2022",U.S.A.,Nepal,tied,-,Pearland
"Jun 12, 2022",Pakistan,West Indies,Pakistan,53 runs,Multan
"Jun 12, 2022",U.S.A.,Oman,Oman,13 runs,Pearland
"Jun 14, 2022",Sri Lanka,Australia,Australia,2 wickets,Pallekele
"Jun 14, 2022",Nepal,Oman,Nepal,7 wickets,Pearland
"Jun 15, 2022",U.S.A.,Nepal,U.S.A.,39 runs,Pearland
"Jun 16, 2022",Sri Lanka,Australia,Sri Lanka,26 runs,Pallekele
"Jun 17, 2022",Netherlands,England,England,232 runs,Amstelveen
"Jun 19, 2022",Netherlands,England,England,6 wickets,Amstelveen
"Jun 19, 2022",Sri Lanka,Australia,Sri Lanka,6 wickets,Colombo (RPS)
"Jun 21, 2022",Sri Lanka,Australia,Sri Lanka,4 runs,Colombo (RPS)
"Jun 22, 2022",Netherlands,England,England,8 wickets,Amstelveen
"Jun 24, 2022",Sri Lanka,Australia,Australia,4 wickets,Colombo (RPS)
"Jul 10, 2022",Ireland,New Zealand,New Zealand,1 wicket,Dublin (Malahide)
"Jul 10, 2022",Scotland,Namibia,Scotland,77 runs,Glasgow
"Jul 10, 2022",West Indies,Bangladesh,Bangladesh,6 wickets,Providence
"Jul 11, 2022",Namibia,Nepal,Namibia,40 runs,Ayr
"Jul 12, 2022",Ireland,New Zealand,New Zealand,3 wickets,Dublin (Malahide)
"Jul 12, 2022",England,India,India,10 wickets,The Oval
"Jul 13, 2022",Scotland,Nepal,Nepal,5 wickets,Glasgow
"Jul 13, 2022",West Indies,Bangladesh,Bangladesh,9 wickets,Providence
"Jul 14, 2022",Scotland,Namibia,Scotland,3 wickets,Glasgow
"Jul 14, 2022",England,India,England,100 runs,Lord's
"Jul 15, 2022",Ireland,New Zealand,New Zealand,1 run,Dublin (Malahide)
"Jul 16, 2022",Namibia,Nepal,Namibia,63 runs,Ayr
"Jul 16, 2022",West Indies,Bangladesh,Bangladesh,4 wickets,Providence
"Jul 17, 2022",Scotland,Nepal,Scotland,8 wickets,Glasgow
"Jul 17, 2022",England,India,India,5 wickets,Manchester
"Jul 19, 2022",England,South Africa,South Africa,62 runs,Chester-le-Street
"Jul 22, 2022",England,South Africa,England,118 runs,Manchester
"Jul 22, 2022",West Indies,India,India,3 runs,Port of Spain
"Jul 24, 2022",England,South Africa,no result,-,Leeds
"Jul 24, 2022",West Indies,India,India,2 wickets,Port of Spain
"Jul 27, 2022",West Indies,India,India,119 runs,Port of Spain
"Jul 31, 2022",Scotland,New Zealand,New Zealand,7 wickets,Edinburgh
"Aug 5, 2022",Zimbabwe,Bangladesh,Zimbabwe,5 wickets,Harare
"Aug 7, 2022",Zimbabwe,Bangladesh,Zimbabwe,5 wickets,Harare
"Aug 10, 2022",Zimbabwe,Bangladesh,Bangladesh,105 runs,Harare
"Aug 10, 2022",Scotland,U.A.E.,Scotland,64 runs,Aberdeen
"Aug 11, 2022",U.A.E.,U.S.A.,U.S.A.,1 wicket,Aberdeen
"Aug 13, 2022",Scotland,U.S.A.,Scotland,5 wickets,Aberdeen
"Aug 14, 2022",Scotland,U.A.E.,Scotland,86 runs,Aberdeen
"Aug 16, 2022",Netherlands,Pakistan,Pakistan,16 runs,Rotterdam
"Aug 17, 2022",Scotland,U.S.A.,U.S.A.,2 wickets,Aberdeen
"Aug 17, 2022",West Indies,New Zealand,West Indies,5 wickets,Bridgetown
"Aug 18, 2022",Zimbabwe,India,India,10 wickets,Harare
"Aug 18, 2022",Netherlands,Pakistan,Pakistan,7 wickets,Rotterdam
"Aug 19, 2022",West Indies,New Zealand,New Zealand,50 runs,Bridgetown
"Aug 20, 2022",Zimbabwe,India,India,5 wickets,Harare
"Aug 21, 2022",Netherlands,Pakistan,Pakistan,9 runs,Rotterdam
"Aug 21, 2022",West Indies,New Zealand,New Zealand,5 wickets,Bridgetown
"Aug 22, 2022",Zimbabwe,India,India,13 runs,Harare
"Aug 28, 2022",Australia,Zimbabwe,Australia,5 wickets,Townsville
"Aug 31, 2022",Australia,Zimbabwe,Australia,8 wickets,Townsville
"Sep 3, 2022",Australia,Zimbabwe,Zimbabwe,3 wickets,Townsville
"Sep 6, 2022",Australia,New Zealand,Australia,2 wickets,Cairns
"Sep 8, 2022",Australia,New Zealand,Australia,113 runs,Cairns
"Sep 11, 2022",P.N.G.,U.S.A.,tied,-,Port Moresby
"Sep 11, 2022",Australia,New Zealand,Australia,25 runs,Cairns
"Sep 13, 2022",P.N.G.,U.S.A.,P.N.G.,26 runs,Port Moresby
"Sep 15, 2022",Namibia,U.S.A.,Namibia,79 runs,Port Moresby
"Sep 17, 2022",Namibia,U.S.A.,Namibia,68 runs,Port Moresby
"Sep 20, 2022",P.N.G.,Namibia,Namibia,167 runs,Port Moresby
"Sep 21, 2022",P.N.G.,Namibia,Namibia,61 runs,Port Moresby
"Oct 6, 2022",India,South Africa,South Africa,9 runs,Lucknow
"Oct 9, 2022",India,South Africa,India,7 wickets,Ranchi
"Oct 11, 2022",India,South Africa,India,7 wickets,Delhi
"Nov 14, 2022",Nepal,U.A.E.,U.A.E.,84 runs,Kirtipur
"Nov 16, 2022",Nepal,U.A.E.,Nepal,3 wickets,Kirtipur
"Nov 17, 2022",Australia,England,Australia,6 wickets,Adelaide
"Nov 18, 2022",Nepal,U.A.E.,Nepal,6 wickets,Kirtipur
"Nov 19, 2022",Australia,England,Australia,72 runs,Sydney
"Nov 19, 2022",Namibia,P.N.G.,Namibia,8 wickets,Windhoek
"Nov 20, 2022",Namibia,U.S.A.,U.S.A.,71 runs,Windhoek
"Nov 22, 2022",Australia,England,Australia,221 runs,Melbourne
"Nov 22, 2022",P.N.G.,U.S.A.,U.S.A.,6 wickets,Windhoek
"Nov 23, 2022",Namibia,P.N.G.,Namibia,3 wickets,Windhoek
"Nov 25, 2022",New Zealand,India,New Zealand,7 wickets,Auckland
"Nov 25, 2022",P.N.G.,U.S.A.,U.S.A.,35 runs,Windhoek
"Nov 25, 2022",Sri Lanka,Afghanistan,Afghanistan,60 runs,Pallekele
"Nov 26, 2022",Namibia,U.S.A.,Namibia,6 wickets,Windhoek
"Nov 27, 2022",New Zealand,India,no result,-,Hamilton
"Nov 27, 2022",Sri Lanka,Afghanistan,no result,-,Pallekele
"Nov 30, 2022",New Zealand,India,no result,-,Christchurch
"Nov 30, 2022",Sri Lanka,Afghanistan,Sri Lanka,4 wickets,Pallekele
"Dec 1, 2022",Namibia,Scotland,Scotland,4 wickets,Windhoek
"Dec 2, 2022",Namibia,Nepal,no result,-,Windhoek
"Dec 4, 2022",Bangladesh,India,Bangladesh,1 wicket,Mirpur
"Dec 4, 2022",Nepal,Scotland,Scotland,3 wickets,Windhoek
"Dec 5, 2022",Namibia,Scotland,Namibia,3 wickets,Windhoek
"Dec 7, 2022",Bangladesh,India,Bangladesh,5 runs,Mirpur
"Dec 7, 2022",Namibia,Nepal,Namibia,86 runs,Windhoek
"Dec 8, 2022",Nepal,Scotland,Scotland,8 wickets,Windhoek
"Dec 10, 2022",Bangladesh,India,India,227 runs,Chattogram
"Jan 9, 2023",Pakistan,New Zealand,Pakistan,6 wickets,Karachi
"Jan 10, 2023",India,Sri Lanka,India,67 runs,Guwahati
"Jan 11, 2023",Pakistan,New Zealand,New Zealand,79 runs,Karachi
"Jan 12, 2023",India,Sri Lanka,India,4 wickets,Eden Gardens
"Jan 13, 2023",Pakistan,New Zealand,New Zealand,2 wickets,Karachi
"Jan 15, 2023",India,Sri Lanka,India,317 runs,Thiruvananthapuram
"Jan 18, 2023",Zimbabwe,Ireland,Zimbabwe,3 wickets,Harare
"Jan 18, 2023",India,New Zealand,India,12 runs,Hyderabad
"Jan 21, 2023",Zimbabwe,Ireland,Ireland,46 runs,Harare
"Jan 21, 2023",India,New Zealand,India,8 wickets,Raipur
"Jan 23, 2023",Zimbabwe,Ireland,no result,-,Harare
"Jan 24, 2023",India,New Zealand,India,90 runs,Indore
"Jan 27, 2023",South Africa,England,South Africa,27 runs,Bloemfontein
"Jan 29, 2023",South Africa,England,South Africa,5 wickets,Bloemfontein
"Feb 1, 2023",South Africa,England,England,59 runs,Kimberley
"Feb 14, 2023",Nepal,Namibia,Nepal,2 wickets,Kirtipur
"Feb 15, 2023",Namibia,Scotland,Scotland,10 wickets,Kirtipur
"Feb 17, 2023",Nepal,Scotland,Nepal,3 wickets,Kirtipur
"Feb 18, 2023",Nepal,Namibia,Nepal,3 wickets,Kirtipur
"Feb 20, 2023",Namibia,Scotland,Scotland,43 runs,Kirtipur
"Feb 21, 2023",Nepal,Scotland,Nepal,2 wickets,Kirtipur
"Feb 23, 2023",U.A.E.,Namibia,U.A.E.,1 wicket,Dubai (DSC)
"Feb 25, 2023",U.A.E.,Namibia,Namibia,7 wickets,Dubai (DSC)
"Feb 27, 2023",Nepal,P.N.G.,Nepal,4 wickets,Dubai (DSC)
"Feb 28, 2023",U.A.E.,P.N.G.,P.N.G.,131 runs,Dubai (DSC)
"Mar 1, 2023",Bangladesh,England,England,3 wickets,Mirpur
"Mar 2, 2023",U.A.E.,Nepal,U.A.E.,68 runs,Dubai (DSC)
"Mar 3, 2023",Nepal,P.N.G.,Nepal,3 wickets,Dubai (DSC)
"Mar 3, 2023",Bangladesh,England,England,132 runs,Mirpur
"Mar 5, 2023",U.A.E.,P.N.G.,P.N.G.,5 wickets,Dubai (DSC)
"Mar 6, 2023",U.A.E.,Nepal,Nepal,42 runs,Dubai (DSC)
"Mar 6, 2023",Bangladesh,England,Bangladesh,50 runs,Chattogram
"Mar 9, 2023",Nepal,P.N.G.,Nepal,52 runs,Kirtipur
"Mar 10, 2023",P.N.G.,U.A.E.,P.N.G.,56 runs,Kirtipur
"Mar 12, 2023",Nepal,U.A.E.,Nepal,177 runs,Kirtipur
"Mar 13, 2023",Nepal,P.N.G.,Nepal,9 wickets,Kirtipur
"Mar 15, 2023",P.N.G.,U.A.E.,U.A.E.,6 wickets,Kirtipur
"Mar 16, 2023",Nepal,U.A.E.,Nepal,9 runs,Kirtipur
"Mar 17, 2023",India,Australia,India,5 wickets,Wankhede
"Mar 18, 2023",Bangladesh,Ireland,Bangladesh,183 runs,Sylhet
"Mar 18, 2023",South Africa,West Indies,West Indies,48 runs,East London
"Mar 19, 2023",India,Australia,Australia,10 wickets,Visakhapatnam
